Seconds,Experiment 1,Experiment 2,Experiment 3,Experiment 4,Experiment 5
172.011,1.834154,2.037361492,2.557112,1.621118,2.375161
172.511,1.836012,2.038217308,2.555145,1.621365,2.373509
173.011,1.837923,2.03732177,2.554148,1.620004,2.36828
173.511,1.838257,2.037503189,2.553389,1.619415,2.365131
174.011,1.838583,2.03732177,2.552738,1.618544,2.363942
174.511,1.83868,2.034109854,2.552094,1.616738,2.359083
175.011,1.838808,2.03413648,2.550627,1.61546,2.355747
175.511,1.840158,2.032780669,2.549164,1.614225,2.353592
176.011,1.838134,2.032691412,2.547692,1.612784,2.349735
176.511,1.83868,2.031570164,2.545528,1.611599,2.343637
177.011,1.838786,2.030679425,2.543643,1.610083,2.339766
177.511,1.838786,2.03066431,2.542238,1.609573,2.33598
178.011,1.840181,2.029461978,2.541041,1.608024,2.333018
178.511,1.83868,2.028341484,2.540136,1.607231,2.330271
179.011,1.838583,2.027464235,2.538191,1.606301,2.328791
179.511,1.838491,2.027143702,2.536975,1.60587,2.320389
180.011,1.837923,2.025099166,2.535339,1.605331,2.315819
180.511,1.837031,2.024112365,2.53447,1.605201,2.312872
181.011,1.837745,2.024362083,2.532476,1.603867,2.30903
181.511,1.837129,2.023692025,2.531694,1.603648,2.30415
182.011,1.833539,2.02292432,2.530739,1.602041,2.301074
182.511,1.831625,2.023067496,2.530307,1.601507,2.299779
183.011,1.83146,2.022684883,2.528869,1.601383,2.297826
183.511,1.830247,2.021525506,2.527501,1.599994,2.295674
184.011,1.830542,2.019282301,2.526578,1.600315,2.2929
184.511,1.829838,2.018447612,2.525728,1.598985,2.288794
185.011,1.8291,2.017351568,2.52499,1.597923,2.285657
185.511,1.827261,2.016699523,2.524125,1.597197,2.286396
186.011,1.825119,2.016615415,2.522444,1.595714,2.283046
186.511,1.825072,2.01447915,2.521734,1.595169,2.280546
187.011,1.825392,2.014285275,2.521379,1.594166,2.277158
187.511,1.823282,2.013208155,2.520661,1.593524,2.274491
188.011,1.824607,2.011771373,2.519149,1.591626,2.273225
188.511,1.822382,2.011320272,2.51735,1.589965,2.268326
189.011,1.821869,2.010313674,2.515806,1.588415,2.265458
189.511,1.822012,2.010077203,2.515259,1.587792,2.261778
190.011,1.822012,2.009472108,2.513537,1.586284,2.26074
190.511,1.822154,2.008323369,2.512909,1.585309,2.259739
191.011,1.820757,2.008195793,2.512049,1.584217,2.257377
191.511,1.820682,2.007747615,2.510427,1.582499,2.252757
192.011,1.817291,2.006283759,2.510179,1.580748,2.247429
192.511,1.814351,2.005908675,2.508541,1.579243,2.244227
193.011,1.814351,2.005917021,2.506855,1.578751,2.242435
193.511,1.812721,2.005109177,2.506312,1.577429,2.240909
194.011,1.812718,2.004407407,2.506304,1.576852,2.240478
194.511,1.81132,2.003303337,2.505654,1.575824,2.237787
195.011,1.812399,2.001937441,2.504858,1.575559,2.236664
195.511,1.811021,2.000746703,2.503598,1.574414,2.232085
196.011,1.810201,1.998883353,2.502993,1.573367,2.226123
196.511,1.80966,1.997667178,2.502011,1.571939,2.221216
197.011,1.80659,1.997006473,2.501576,1.571478,2.220887
197.511,1.804332,1.995585667,2.498783,1.569448,2.217408
198.011,1.802463,1.995150549,2.49833,1.56852,2.213688
198.511,1.802072,1.992689966,2.496976,1.567567,2.210759
199.011,1.801253,1.989402877,2.496274,1.566417,2.207561
199.511,1.801227,1.986967771,2.495781,1.565608,2.20382
200.011,1.801758,1.9844569,2.49497,1.565065,2.201184
200.511,1.79947,1.983303994,2.494093,1.563942,2.19646
201.011,1.796558,1.982407382,2.493539,1.562255,2.191856
201.511,1.79536,1.981806915,2.493005,1.560683,2.189856
202.011,1.791315,1.980661372,2.491823,1.56016,2.186444
202.511,1.790545,1.980482749,2.490962,1.559419,2.185217
203.011,1.79032,1.979357784,2.489876,1.55803,2.180341
